Username,Name,Contributions,Total Commits,Additions,Deletions,Profile URL,Type
zemuumez,Zemichael Tefera,162,126,49735,26115,https://github.com/zemuumez,User
enochCodes,Henok Samson,120,84,14425,18691,https://github.com/enochCodes,User
yordiyes,Yordanos Yeshitla,26,24,33968,26387,https://github.com/yordiyes,User
Tesfatsion-Gudeta,Tesfatsion Gudeta,15,13,2795,452,https://github.com/Tesfatsion-Gudeta,User
Kirubel-Amare,kirubel ,9,9,113,278,https://github.com/Kirubel-Amare,User
Sami4N,Samuel Negasa,7,5,896,348,https://github.com/Sami4N,User
kenenisagizaw,Kenenisa Gizaw,4,3,173,357,https://github.com/kenenisagizaw,User
google-labs-jules[bot],,3,3,2637,2422,https://github.com/apps/google-labs-jules,Bot
x21enax,x21e 0day,1,1,12,3,https://github.com/x21enax,User
FasHub,Fasil Teshome,1,1,122,12,https://github.com/FasHub,User
GaromaMakure,Garoma Makure,1,1,0,1401,https://github.com/GaromaMakure,User
